date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2020-09-22,0.8618299,0.0,1,1,861829.9,1
2020-09-24,-0.5689819,0.39522505,5,-3,-1.4396366,5
2020-09-28,0.2445499,0.38135728,2,0,0.6412602,2
2020-09-29,0.5232664,0.5145738,3,1,1.0168908,3
2020-10-01,-0.7029205,0.14951111,4,-4,-4.7014284,4
2020-10-06,-0.69400436,0.0,1,-1,-694004.4,1
2020-10-07,0.57711834,0.0,1,1,577118.3,1
2020-10-08,-0.31286362,0.98135906,3,-1,-0.31880614,3
2020-10-09,0.6425501,0.0,1,1,642550.1,1
2020-10-12,0.2507322,0.80550975,6,2,0.3112711,6
2020-10-13,-0.13077125,0.0,2,-2,-130771.25,2
2020-10-16,0.46425414,0.41962028,5,5,1.1063646,5
2020-10-20,0.89327747,0.0,1,1,893277.44,1
2020-10-21,0.4714444,0.49609253,4,4,0.9503135,4
2020-10-22,0.18909535,0.0,1,1,189095.34,1
2020-10-23,0.833733,0.00889054,2,2,93.76699,2
2020-10-24,0.4079374,0.0,2,2,407937.4,2
2020-10-26,0.7977707,0.0,2,2,797770.7,2
2020-10-27,0.5639883,0.0,2,2,563988.3,2
2020-10-28,-0.8769681,0.0,1,-1,-876968.06,1
2020-10-29,0.7826056,0.0,2,2,782605.56,2
2020-10-30,0.8427003,0.039235547,5,5,21.477434,5
2020-11-02,0.3077976,0.38213348,5,5,0.80546933,5
2020-11-03,0.7709266,0.0,2,2,770926.6,2
2020-11-09,0.29516983,0.41904372,6,6,0.7043874,6
2020-11-10,0.03105924,0.0,1,1,31059.24,1
2020-11-11,-0.056608956,0.7828605,3,-1,-0.072310306,3
2020-11-13,0.28362375,0.830432,2,0,0.34153718,2
2020-11-14,0.67969745,0.0,1,1,679697.44,1
2020-11-23,0.7668584,0.0,2,2,766858.4,2
2020-11-25,0.43807656,0.6552153,2,0,0.66859835,2
2020-11-28,-0.71366566,0.0,2,-2,-713665.7,2
2020-11-30,0.36953157,0.0,1,1,369531.56,1
2020-12-01,0.8791885,0.0,1,1,879188.5,1
2020-12-04,0.024134366,0.0,2,2,24134.365,2
2020-12-05,0.29485202,0.9862198,3,1,0.2989716,3
2020-12-06,0.33775684,0.0,2,2,337756.84,2
2020-12-07,0.6205179,0.34361964,3,3,1.8058225,3
2020-12-09,0.69532716,0.0,1,1,695327.2,1
2020-12-10,0.7560918,0.0,2,2,756091.75,2
2020-12-11,0.2188625,0.0,2,2,218862.5,2
2020-12-14,0.4272163,0.33654565,6,6,1.2694118,6
2020-12-15,-0.32304412,0.43283865,10,2,-0.7463367,10
2020-12-16,-0.49628058,0.60280913,6,-4,-0.8232784,6
2020-12-17,0.3818104,0.41525823,4,4,0.9194507,4
2020-12-19,0.30646586,0.4267322,6,6,0.71816736,6
2020-12-21,0.037286736,0.0,2,2,37286.734,2
2020-12-22,0.5923921,0.34857738,4,4,1.6994516,4
2020-12-23,0.16672246,0.7720494,6,2,0.21594763,6
2020-12-24,0.8715814,0.0065863724,2,2,132.31093,2
2020-12-25,0.8452084,0.0,1,1,845208.44,1
2020-12-28,0.2586887,0.67120314,6,0,0.38540983,6
2020-12-29,0.8964361,0.0,1,1,896436.1,1
2020-12-30,-0.045587122,0.9348707,4,0,-0.04876297,4
2021-01-03,0.2098678,0.0,1,1,209867.81,1
2021-01-04,-0.52449065,0.0,2,-2,-524490.6,2
2021-01-05,0.26063552,0.81674236,6,2,0.31911558,6
2021-01-06,0.47268212,0.0799272,2,2,5.9138346,2
2021-01-07,-0.23852201,0.90140665,3,-1,-0.2646106,3
2021-01-08,0.48191434,0.59680414,8,6,0.8074902,8
2021-01-09,0.7928995,0.16246676,5,5,4.8803496,5
2021-01-12,-0.16859147,0.620248,5,1,-0.27181256,5
2021-01-13,0.19320726,0.66326076,5,1,0.29129866,5
2021-01-14,0.3706073,0.8958063,3,1,0.41371316,3
2021-01-15,0.13401566,0.5118796,15,9,0.2618104,15
2021-01-16,0.52671826,0.0,1,1,526718.25,1
2021-01-18,0.9003293,0.0,2,2,900329.3,2
2021-01-19,0.4306702,0.40418783,5,5,1.0655173,5
2021-01-20,-0.5834749,0.0,2,-2,-583474.9,2
2021-01-21,0.18018302,0.38974696,5,3,0.4623065,5
2021-01-22,0.20383382,0.47690186,8,6,0.4274116,8
2021-01-24,0.7631258,0.15460601,4,4,4.9359064,4
2021-01-25,0.14677183,0.29225808,8,8,0.5021977,8
2021-01-26,0.3666475,0.5716,7,5,0.64143956,7
