Date,Open,High,Low,Close,Volume,adjusted_close,change_percent,avg_vol_20d,Return,Log_Return,Volatility,SMA_5,SMA_20,Volume_Change,Daily_Range,Return_lag_1,Volatility_lag_1,Volume_Change_lag_1,Return_lag_2,Volatility_lag_2,Volume_Change_lag_2,Return_lag_3,Volatility_lag_3,Volume_Change_lag_3,Return_lag_5,Volatility_lag_5,Volume_Change_lag_5,Target_Return,Target_Direction
2018-02-07,163.09,163.4,159.07,159.54,51608600,37.6678,-2.14,168554940.0,-0.021407102987180293,-0.021639558468579508,0.017699068164993042,161.468,171.0125,-0.2437613380263115,0.027140529020935267,0.04179180778324487,0.017246341008189354,-0.061792585769571806,-0.02498442367601239,0.013744494162340781,-0.16000337206589843,-0.04339015377279776,0.013415725874813777,0.8334180238319062,0.0027549859256155163,0.009489918300442752,-0.29467601339466043,-0.0275166102544816,0
2018-02-08,160.29,161.0,155.03,155.15,54390500,36.6313,-2.75,174641060.0,-0.0275166102544816,-0.0279022835885942,0.018420161287057823,158.942,170.0555,0.05390380672988604,0.03847889139542377,-0.021407102987180293,0.017699068164993042,-0.2437613380263115,0.04179180778324487,0.017246341008189354,-0.061792585769571806,-0.02498442367601239,0.013744494162340781,-0.16000337206589843,0.0020904258496088346,0.00951901464817869,0.4541994956725752,0.0081211730583306,1
2018-02-09,157.07,157.89,150.24,156.41,70672600,37.0793,1.22,185042040.0,0.0081211730583306,0.008088373791760913,0.018507453916039713,158.124,169.112,0.2993555859938777,0.04890991624576419,-0.0275166102544816,0.018420161287057823,0.05390380672988604,-0.021407102987180293,0.017699068164993042,-0.2437613380263115,0.04179180778324487,0.017246341008189354,-0.061792585769571806,-0.04339015377279776,0.013415725874813777,0.8334180238319062,0.04027875455533536,1
2018-02-12,158.5,163.89,157.51,162.71,60819500,38.5728,4.03,192122320.0,0.04027875455533536,0.03948871046507747,0.020840123649066275,159.368,168.39299999999997,-0.1394189544462776,0.03921086595783907,0.0081211730583306,0.018507453916039713,0.2993555859938777,-0.0275166102544816,0.018420161287057823,0.05390380672988604,-0.021407102987180293,0.017699068164993042,-0.2437613380263115,-0.02498442367601239,0.013744494162340781,-0.16000337206589843,0.010017823120889835,1
2018-02-13,161.95,164.75,161.65,164.34,32549200,38.9592,1.0,192718980.0,0.010017823120889835,0.00996797735181408,0.021078209086711805,159.63000000000002,167.8005,-0.4648229597415303,0.01886333211634413,0.04027875455533536,0.020840123649066275,-0.1394189544462776,0.0081211730583306,0.018507453916039713,0.2993555859938777,-0.0275166102544816,0.018420161287057823,0.05390380672988604,0.04179180778324487,0.017246341008189354,-0.061792585769571806,0.018437385907265513,1
2018-02-14,163.04,167.54,162.88,167.37,40644900,39.6776,1.84,193970600.0,0.018437385907265513,0.018269478022504962,0.021175855377559703,161.196,167.214,0.24872193479409632,0.02784250463045944,0.010017823120889835,0.021078209086711805,-0.4648229597415303,0.04027875455533536,0.020840123649066275,-0.1394189544462776,0.0081211730583306,0.018507453916039713,0.2993555859938777,-0.021407102987180293,0.017699068164993042,-0.2437613380263115,0.03357829957579028,1
2018-02-15,169.79,173.09,169.0,172.99,51147200,41.0099,3.36,197961360.0,0.03357829957579028,0.03302685883333945,0.022683095312636122,164.76399999999998,166.90050000000002,0.2583915817236604,0.02364298514364994,0.018437385907265513,0.021175855377559703,0.24872193479409632,0.010017823120889835,0.021078209086711805,-0.4648229597415303,0.04027875455533536,0.020840123649066275,-0.1394189544462776,-0.0275166102544816,0.018420161287057823,0.05390380672988604,-0.00323718133996187,0
2018-02-16,172.36,174.82,171.77,172.43,40176100,40.8771,-0.32,199511560.0,-0.00323718133996187,-0.003242432346845786,0.022677076105830238,167.96800000000002,166.599,-0.21450050051615732,0.01768833729629405,0.03357829957579028,0.022683095312636122,0.2583915817236604,0.018437385907265513,0.021175855377559703,0.24872193479409632,0.010017823120889835,0.021078209086711805,-0.4648229597415303,0.0081211730583306,0.018507453916039713,0.2993555859938777,-0.003363683813721541,0
2018-02-20,172.05,174.26,171.42,171.85,33930500,40.7396,-0.34,200875940.0,-0.003363683813721541,-0.0033693537161973816,0.022629856219707256,169.796,166.3415,-0.15545560669154046,0.016526040151294753,-0.00323718133996187,0.022677076105830238,-0.21450050051615732,0.03357829957579028,0.022683095312636122,0.2583915817236604,0.018437385907265513,0.021175855377559703,0.24872193479409632,0.04027875455533536,0.020840123649066275,-0.1394189544462776,-0.004538842013383726,0
2018-02-21,172.83,174.12,171.01,171.07,37471600,40.5547,-0.45,201832440.0,-0.004538842013383726,-0.004549173831642337,0.022636139466783688,171.142,166.043,0.10436333092645267,0.01817969252352846,-0.003363683813721541,0.022629856219707256,-0.15545560669154046,-0.00323718133996187,0.022677076105830238,-0.21450050051615732,0.03357829957579028,0.022683095312636122,0.2583915817236604,0.010017823120889835,0.021078209086711805,-0.4648229597415303,0.008359151224644812,1
2018-02-22,171.8,173.95,171.71,172.5,30991900,40.8937,0.84,197809800.0,0.008359151224644812,0.008324407007213864,0.022479098864443933,172.16799999999998,165.957,-0.17292296032195054,0.012985507246376699,-0.004538842013383726,0.022636139466783688,0.10436333092645267,-0.003363683813721541,0.022629856219707256,-0.15545560669154046,-0.00323718133996187,0.022677076105830238,-0.21450050051615732,0.018437385907265513,0.021175855377559703,0.24872193479409632,0.017391304347825987,1
2018-02-23,173.67,175.65,173.54,175.5,33812400,41.6049,1.74,196266480.0,0.017391304347825987,0.017241806434505954,0.022415410768053826,172.67,166.1765,0.09100765038606862,0.0120227920227921,0.008359151224644812,0.022479098864443933,-0.17292296032195054,-0.004538842013383726,0.022636139466783688,0.10436333092645267,-0.003363683813721541,0.022629856219707256,-0.15545560669154046,0.03357829957579028,0.022683095312636122,0.2583915817236604,0.01977207977207973,1
2018-02-26,176.35,179.39,176.21,178.97,38162200,42.4275,1.98,196070320.0,0.01977207977207973,0.019579151123396435,0.022787232655973415,173.978,166.5495,0.12864511244395538,0.017768341062747824,0.017391304347825987,0.022415410768053826,0.09100765038606862,0.008359151224644812,0.022479098864443933,-0.17292296032195054,-0.004538842013383726,0.022636139466783688,0.10436333092645267,-0.00323718133996187,0.022677076105830238,-0.21450050051615732,-0.0032407666089289133,0
2018-02-27,179.1,180.48,178.16,178.39,38928100,42.29,-0.32,193727860.0,-0.0032407666089289133,-0.0032460292661408183,0.022181225410153948,175.286,167.071,0.020069597664704952,0.013005213296709419,0.01977207977207973,0.022787232655973415,0.12864511244395538,0.017391304347825987,0.022415410768053826,0.09100765038606862,0.008359151224644812,0.022479098864443933,-0.17292296032195054,-0.003363683813721541,0.022629856219707256,-0.15545560669154046,-0.0015135377543583628,0
