Date,Open,High,Low,Close,Volume,adjusted_close,change_percent,avg_vol_20d,Return,Log_Return,Volatility,SMA_5,SMA_20,Volume_Change,Daily_Range,Return_lag_1,Volatility_lag_1,Volume_Change_lag_1,Return_lag_2,Volatility_lag_2,Volume_Change_lag_2,Return_lag_3,Volatility_lag_3,Volume_Change_lag_3,Return_lag_5,Volatility_lag_5,Volume_Change_lag_5,Target_Return,Target_Direction,date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2018-02-07,163.09,163.4,159.07,159.54,51608600,37.6678,-2.14,168554940.0,-0.0214071029871802,-0.0216395584685795,0.017699068164993,161.468,171.0125,-0.2437613380263115,0.0271405290209352,0.0417918077832448,0.0172463410081893,-0.0617925857695718,-0.0249844236760123,0.0137444941623407,-0.1600033720658984,-0.0433901537727977,0.0134157258748137,0.8334180238319062,0.0027549859256155,0.0094899183004427,-0.2946760133946604,-0.0275166102544816,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-08,160.29,161.0,155.03,155.15,54390500,36.6313,-2.75,174641060.0,-0.0275166102544816,-0.0279022835885942,0.0184201612870578,158.942,170.0555,0.053903806729886,0.0384788913954237,-0.0214071029871802,0.017699068164993,-0.2437613380263115,0.0417918077832448,0.0172463410081893,-0.0617925857695718,-0.0249844236760123,0.0137444941623407,-0.1600033720658984,0.0020904258496088,0.0095190146481786,0.4541994956725752,0.0081211730583306,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-09,157.07,157.89,150.24,156.41,70672600,37.0793,1.22,185042040.0,0.0081211730583306,0.0080883737917609,0.0185074539160397,158.124,169.112,0.2993555859938777,0.0489099162457641,-0.0275166102544816,0.0184201612870578,0.053903806729886,-0.0214071029871802,0.017699068164993,-0.2437613380263115,0.0417918077832448,0.0172463410081893,-0.0617925857695718,-0.0433901537727977,0.0134157258748137,0.8334180238319062,0.0402787545553353,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-12,158.5,163.89,157.51,162.71,60819500,38.5728,4.03,192122320.0,0.0402787545553353,0.0394887104650774,0.0208401236490662,159.368,168.39299999999997,-0.1394189544462776,0.039210865957839,0.0081211730583306,0.0185074539160397,0.2993555859938777,-0.0275166102544816,0.0184201612870578,0.053903806729886,-0.0214071029871802,0.017699068164993,-0.2437613380263115,-0.0249844236760123,0.0137444941623407,-0.1600033720658984,0.0100178231208898,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-13,161.95,164.75,161.65,164.34,32549200,38.9592,1.0,192718980.0,0.0100178231208898,0.009967977351814,0.0210782090867118,159.63000000000002,167.8005,-0.4648229597415303,0.0188633321163441,0.0402787545553353,0.0208401236490662,-0.1394189544462776,0.0081211730583306,0.0185074539160397,0.2993555859938777,-0.0275166102544816,0.0184201612870578,0.053903806729886,0.0417918077832448,0.0172463410081893,-0.0617925857695718,0.0184373859072655,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-14,163.04,167.54,162.88,167.37,40644900,39.6776,1.84,193970600.0,0.0184373859072655,0.0182694780225049,0.0211758553775597,161.196,167.214,0.2487219347940963,0.0278425046304594,0.0100178231208898,0.0210782090867118,-0.4648229597415303,0.0402787545553353,0.0208401236490662,-0.1394189544462776,0.0081211730583306,0.0185074539160397,0.2993555859938777,-0.0214071029871802,0.017699068164993,-0.2437613380263115,0.0335782995757902,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-15,169.79,173.09,169.0,172.99,51147200,41.0099,3.36,197961360.0,0.0335782995757902,0.0330268588333394,0.0226830953126361,164.76399999999998,166.90050000000002,0.2583915817236604,0.0236429851436499,0.0184373859072655,0.0211758553775597,0.2487219347940963,0.0100178231208898,0.0210782090867118,-0.4648229597415303,0.0402787545553353,0.0208401236490662,-0.1394189544462776,-0.0275166102544816,0.0184201612870578,0.053903806729886,-0.0032371813399618,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-16,172.36,174.82,171.77,172.43,40176100,40.8771,-0.32,199511560.0,-0.0032371813399618,-0.0032424323468457,0.0226770761058302,167.96800000000002,166.599,-0.2145005005161573,0.017688337296294,0.0335782995757902,0.0226830953126361,0.2583915817236604,0.0184373859072655,0.0211758553775597,0.2487219347940963,0.0100178231208898,0.0210782090867118,-0.4648229597415303,0.0081211730583306,0.0185074539160397,0.2993555859938777,-0.0033636838137215,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-20,172.05,174.26,171.42,171.85,33930500,40.7396,-0.34,200875940.0,-0.0033636838137215,-0.0033693537161973,0.0226298562197072,169.796,166.3415,-0.1554556066915404,0.0165260401512947,-0.0032371813399618,0.0226770761058302,-0.2145005005161573,0.0335782995757902,0.0226830953126361,0.2583915817236604,0.0184373859072655,0.0211758553775597,0.2487219347940963,0.0402787545553353,0.0208401236490662,-0.1394189544462776,-0.0045388420133837,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-21,172.83,174.12,171.01,171.07,37471600,40.5547,-0.45,201832440.0,-0.0045388420133837,-0.0045491738316423,0.0226361394667836,171.142,166.043,0.1043633309264526,0.0181796925235284,-0.0033636838137215,0.0226298562197072,-0.1554556066915404,-0.0032371813399618,0.0226770761058302,-0.2145005005161573,0.0335782995757902,0.0226830953126361,0.2583915817236604,0.0100178231208898,0.0210782090867118,-0.4648229597415303,0.0083591512246448,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-22,171.8,173.95,171.71,172.5,30991900,40.8937,0.84,197809800.0,0.0083591512246448,0.0083244070072138,0.0224790988644439,172.16799999999998,165.957,-0.1729229603219505,0.0129855072463766,-0.0045388420133837,0.0226361394667836,0.1043633309264526,-0.0033636838137215,0.0226298562197072,-0.1554556066915404,-0.0032371813399618,0.0226770761058302,-0.2145005005161573,0.0184373859072655,0.0211758553775597,0.2487219347940963,0.0173913043478259,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-23,173.67,175.65,173.54,175.5,33812400,41.6049,1.74,196266480.0,0.0173913043478259,0.0172418064345059,0.0224154107680538,172.67,166.1765,0.0910076503860686,0.0120227920227921,0.0083591512246448,0.0224790988644439,-0.1729229603219505,-0.0045388420133837,0.0226361394667836,0.1043633309264526,-0.0033636838137215,0.0226298562197072,-0.1554556066915404,0.0335782995757902,0.0226830953126361,0.2583915817236604,0.0197720797720797,1,,0.0,0.0,0.0,0.0,0.0,
2018-02-26,176.35,179.39,176.21,178.97,38162200,42.4275,1.98,196070320.0,0.0197720797720797,0.0195791511233964,0.0227872326559734,173.978,166.5495,0.1286451124439553,0.0177683410627478,0.0173913043478259,0.0224154107680538,0.0910076503860686,0.0083591512246448,0.0224790988644439,-0.1729229603219505,-0.0045388420133837,0.0226361394667836,0.1043633309264526,-0.0032371813399618,0.0226770761058302,-0.2145005005161573,-0.0032407666089289,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-27,179.1,180.48,178.16,178.39,38928100,42.29,-0.32,193727860.0,-0.0032407666089289,-0.0032460292661408,0.0221812254101539,175.286,167.071,0.0200695976647049,0.0130052132967094,0.0197720797720797,0.0227872326559734,0.1286451124439553,0.0173913043478259,0.0224154107680538,0.0910076503860686,0.0083591512246448,0.0224790988644439,-0.1729229603219505,-0.0033636838137215,0.0226298562197072,-0.1554556066915404,-0.0015135377543583,0,,0.0,0.0,0.0,0.0,0.0,
2018-02-28,179.26,180.62,178.05,178.12,37782100,42.226,-0.15,192074640.0,-0.0015135377543583,-0.0015146843096745,0.0221097947291119,176.696,167.6285,-0.0294388886177336,0.0144284751852683,-0.0032407666089289,0.0221812254101539,0.0200695976647049,0.0197720797720797,0.0227872326559734,0.1286451124439553,0.0173913043478259,0.0224154107680538,0.0910076503860686,-0.0045388420133837,0.0226361394667836,0.1043633309264526,-0.0175162811587693,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-01,178.54,179.78,172.66,175.0,48802000,41.4864,-1.75,195339260.0,-0.0175162811587693,-0.0176715065299875,0.0225993657321403,177.196,168.007,0.291669864830171,0.0406857142857143,-0.0015135377543583,0.0221097947291119,-0.0294388886177336,-0.0032407666089289,0.0221812254101539,0.0200695976647049,0.0197720797720797,0.0227872326559734,0.1286451124439553,0.0083591512246448,0.0224790988644439,-0.1729229603219505,0.0069142857142856,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-02,172.8,176.3,172.45,176.21,38454000,41.7732,0.69,193583900.0,0.0069142857142856,0.0068904916571251,0.0226234909289308,177.33800000000002,168.4285,-0.2120404901438465,0.0218489302536747,-0.0175162811587693,0.0225993657321403,0.291669864830171,-0.0015135377543583,0.0221097947291119,-0.0294388886177336,-0.0032407666089289,0.0221812254101539,0.0200695976647049,0.0173913043478259,0.0224154107680538,0.0910076503860686,0.0034617785596731,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-05,175.21,177.74,174.52,176.82,28401400,41.9178,0.35,181945420.0,0.0034617785596731,0.0034558003970191,0.0197618280486776,176.908,169.24450000000002,-0.261418838092266,0.0182106096595407,0.0069142857142856,0.0226234909289308,-0.2120404901438465,-0.0175162811587693,0.0225993657321403,0.291669864830171,-0.0015135377543583,0.0221097947291119,-0.0294388886177336,0.0197720797720797,0.0227872326559734,0.1286451124439553,-0.0008483203257549,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-06,177.91,178.25,176.13,176.67,23788500,41.8823,-0.08,172155420.0,-0.0008483203257549,-0.0008486803530692,0.018515863167147,176.564,170.25349999999997,-0.1624180498144457,0.0119997735891775,0.0034617785596731,0.0197618280486776,-0.261418838092266,0.0069142857142856,0.0226234909289308,-0.2120404901438465,-0.0175162811587693,0.0225993657321403,0.291669864830171,-0.0032407666089289,0.0221812254101539,0.0200695976647049,-0.0092828437199297,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-07,174.94,175.85,174.27,175.03,31703500,41.4935,-0.93,164847360.0,-0.0092828437199297,-0.0093261978218448,0.0168710181432672,175.946,170.8535,0.3327237951110831,0.0090270239387532,-0.0008483203257549,0.018515863167147,-0.1624180498144457,0.0034617785596731,0.0197618280486776,-0.261418838092266,0.0069142857142856,0.0226234909289308,-0.2120404901438465,-0.0015135377543583,0.0221097947291119,-0.0294388886177336,0.0109124150145689,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-08,175.48,177.12,175.07,176.94,23774100,41.9463,1.09,159280460.0,0.0109124150145689,0.0108533042524957,0.0158512056068973,176.334,171.7235,-0.2501111864620625,0.0115858483101617,-0.0092828437199297,0.0168710181432672,0.3327237951110831,-0.0008483203257549,0.018515863167147,-0.1624180498144457,0.0034617785596731,0.0197618280486776,-0.261418838092266,-0.0175162811587693,0.0225993657321403,0.291669864830171,0.0171809652989713,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-09,177.96,180.0,177.39,179.98,32185200,42.6669,1.72,154839400.0,0.0171809652989713,0.0170350415505625,0.0139914775232958,177.088,172.965,0.3537925725894986,0.0145016112901434,0.0109124150145689,0.0158512056068973,-0.2501111864620625,-0.0092828437199297,0.0168710181432672,0.3327237951110831,-0.0008483203257549,0.018515863167147,-0.1624180498144457,0.0069142857142856,0.0226234909289308,-0.2120404901438465,0.0096677408600955,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-12,180.29,182.39,180.21,181.72,32207100,43.0794,0.97,147146300.0,0.0096677408600955,0.0096213072854,0.0139995127383523,178.068,174.2305,0.0006804369710302,0.0119964780981728,0.0171809652989713,0.0139914775232958,0.3537925725894986,0.0109124150145689,0.0158512056068973,-0.2501111864620625,-0.0092828437199297,0.0168710181432672,0.3327237951110831,0.0034617785596731,0.0197618280486776,-0.261418838092266,-0.0096302003081664,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-13,182.59,183.5,179.24,179.97,31693500,42.6646,-0.96,141321100.0,-0.0096302003081664,-0.0096768705580911,0.0123001452164359,178.728,175.0935,-0.0159467943403783,0.023670611768628,0.0096677408600955,0.0139995127383523,0.0006804369710302,0.0171809652989713,0.0139914775232958,0.3537925725894986,0.0109124150145689,0.0158512056068973,-0.2501111864620625,-0.0008483203257549,0.018515863167147,-0.1624180498144457,-0.0085014169028171,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-14,180.32,180.52,177.81,178.44,29368400,42.3019,-0.85,140684940.0,-0.0085014169028171,-0.0085377600730474,0.0126023466162005,179.41,175.79850000000002,-0.0733620458453626,0.0151871777628334,-0.0096302003081664,0.0123001452164359,-0.0159467943403783,0.0096677408600955,0.0139995127383523,0.0006804369710302,0.0171809652989713,0.0139914775232958,0.3537925725894986,-0.0092828437199297,0.0168710181432672,0.3327237951110831,0.0011768661735036,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-15,178.5,180.24,178.07,178.65,22743800,42.3516,0.12,137104720.0,0.0011768661735036,0.0011761742093547,0.0121639407339169,179.752,176.3625,-0.2255689789024938,0.0121466554715925,-0.0085014169028171,0.0126023466162005,-0.0733620458453626,-0.0096302003081664,0.0123001452164359,-0.0159467943403783,0.0096677408600955,0.0139995127383523,0.0006804369710302,0.0109124150145689,0.0158512056068973,-0.2501111864620625,-0.0035264483627204,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-16,178.65,179.12,177.62,178.02,39404700,42.2023,-0.35,134756220.0,-0.0035264483627204,-0.0035326809386333,0.0100120754126995,179.36,176.61399999999998,0.7325468919002103,0.0084260195483653,0.0011768661735036,0.0121639407339169,-0.2255689789024938,-0.0085014169028171,0.0126023466162005,-0.0733620458453626,-0.0096302003081664,0.0123001452164359,-0.0159467943403783,0.0171809652989713,0.0139914775232958,0.3537925725894986,-0.0152791821143691,0,2018-03-16,0.51313305,0.0,1.0,1.0,513133.06,1.0
2018-03-19,177.32,177.47,173.66,175.3,33446800,41.5575,-1.53,133410360.0,-0.0152791821143691,-0.0153971116035966,0.0106588243021995,178.076,176.7575,-0.1511976997667791,0.0217341699942955,-0.0035264483627204,0.0100120754126995,0.7325468919002103,0.0011768661735036,0.0121639407339169,-0.2255689789024938,-0.0085014169028171,0.0126023466162005,-0.0733620458453626,0.0096677408600955,0.0139995127383523,0.0006804369710302,-0.000342270393611,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-20,175.24,176.8,174.94,175.24,19649400,41.5433,-0.03,130554140.0,-0.000342270393611,-0.0003423289814911,0.0106175372155496,177.13000000000002,176.927,-0.4125177894447301,0.0106140150650537,-0.0152791821143691,0.0106588243021995,-0.1511976997667791,-0.0035264483627204,0.0100120754126995,0.7325468919002103,0.0011768661735036,0.0121639407339169,-0.2255689789024938,-0.0096302003081664,0.0123001452164359,-0.0159467943403783,-0.0226546450582059,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-21,175.04,175.09,171.26,171.27,37054900,40.6021,-2.27,130470800.0,-0.0226546450582059,-0.0229152043014202,0.0118440145530548,175.696,176.937,0.885803128848718,0.0223623518421207,-0.000342270393611,0.0106175372155496,-0.4125177894447301,-0.0152791821143691,0.0106588243021995,-0.1511976997667791,-0.0035264483627204,0.0100120754126995,0.7325468919002103,-0.0085014169028171,0.0126023466162005,-0.0733620458453626,-0.0141297366730893,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-22,170.0,172.68,168.6,168.85,41490800,40.0284,-1.41,132570580.0,-0.0141297366730893,-0.0142305118127008,0.0120868432445277,173.73600000000002,176.7545,0.1197115631131104,0.024163458691146,-0.0226546450582059,0.0118440145530548,0.885803128848718,-0.000342270393611,0.0106175372155496,-0.4125177894447301,-0.0152791821143691,0.0106588243021995,-0.1511976997667791,0.0011768661735036,0.0121639407339169,-0.2255689789024938,-0.0231566479123481,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-23,168.39,169.92,164.94,164.94,41028800,39.1015,-2.32,134013860.0,-0.0231566479123481,-0.0234289754263672,0.0122639709006597,171.12000000000003,176.22650000000002,-0.0111349986020997,0.0301927973808657,-0.0141297366730893,0.0120868432445277,0.1197115631131104,-0.0226546450582059,0.0118440145530548,0.885803128848718,-0.000342270393611,0.0106175372155496,-0.4125177894447301,-0.0035264483627204,0.0100120754126995,0.7325468919002103,0.0474718079301565,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-26,168.07,173.1,166.44,172.77,37541200,40.9577,4.75,133889660.0,0.0474718079301565,0.0463794587814815,0.01582105238578,170.614,175.9165,-0.0850037047147369,0.0385483590901197,-0.0231566479123481,0.0122639709006597,-0.0111349986020997,-0.0141297366730893,0.0120868432445277,0.1197115631131104,-0.0226546450582059,0.0118440145530548,0.885803128848718,-0.0152791821143691,0.0106588243021995,-0.1511976997667791,-0.0256410256410256,0,,0.0,0.0,0.0,0.0,0.0,
2018-03-27,173.68,175.15,166.92,168.34,40922600,39.9075,-2.56,134288560.0,-0.0256410256410256,-0.0259754864032606,0.0167238073058104,169.234,175.414,0.0900717078836053,0.0488891529048355,0.0474718079301565,0.01582105238578,-0.0850037047147369,-0.0231566479123481,0.0122639709006597,-0.0111349986020997,-0.0141297366730893,0.0120868432445277,0.1197115631131104,-0.000342270393611,0.0106175372155496,-0.4125177894447301,-0.0110490673636688,0,2018-03-27,0.080426715,0.0,1.0,1.0,80426.72,1.0
2018-03-28,167.25,170.02,165.19,166.48,41668500,39.4666,-1.1,135065840.0,-0.0110490673636688,-0.0111105616980511,0.0168193686848635,168.276,174.832,0.0182270921202465,0.0290124939932725,-0.0256410256410256,0.0167238073058104,0.0900717078836053,0.0474718079301565,0.01582105238578,-0.0850037047147369,-0.0231566479123481,0.0122639709006597,-0.0111349986020997,-0.0226546450582059,0.0118440145530548,0.885803128848718,0.0078087457952908,1,,0.0,0.0,0.0,0.0,0.0,
2018-03-29,167.81,171.75,166.9,167.78,38398500,39.7747,0.78,132985140.0,0.0078087457952908,0.0077784153327697,0.0166429457055125,168.06199999999998,174.471,-0.0784765470319306,0.0289069018953391,-0.0110490673636688,0.0168193686848635,0.0182270921202465,-0.0256410256410256,0.0167238073058104,0.0900717078836053,0.0474718079301565,0.01582105238578,-0.0850037047147369,-0.0141297366730893,0.0120868432445277,0.1197115631131104,-0.006556204553582,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-02,166.64,168.94,164.47,166.68,37586800,39.514,-0.66,132811700.0,-0.006556204553582,-0.0065777908638958,0.0165318493951259,168.41,173.9945,-0.0211388465695274,0.0268178545716342,0.0078087457952908,0.0166429457055125,-0.0784765470319306,-0.0110490673636688,0.0168193686848635,0.0182270921202465,-0.0256410256410256,0.0167238073058104,0.0900717078836053,-0.0231566479123481,0.0122639709006597,-0.0111349986020997,0.0102591792656585,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-03,167.64,168.75,164.88,168.39,30278000,39.9194,1.03,133187020.0,0.0102591792656585,0.0102069110679647,0.0167335702087413,167.534,173.573,-0.1944512435216618,0.0229823623730625,-0.006556204553582,0.0165318493951259,-0.0211388465695274,0.0078087457952908,0.0166429457055125,-0.0784765470319306,-0.0110490673636688,0.0168193686848635,0.0182270921202465,0.0474718079301565,0.01582105238578,-0.0850037047147369,0.0191222756695768,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-04,164.88,172.01,164.77,171.61,34605500,40.6827,1.91,135350420.0,0.0191222756695768,0.0189417427919943,0.0174044711574957,168.188,173.32,0.1429255565096769,0.0421886836431442,0.0102591792656585,0.0167335702087413,-0.1944512435216618,-0.006556204553582,0.0165318493951259,-0.0211388465695274,0.0078087457952908,0.0166429457055125,-0.0784765470319306,-0.0256410256410256,0.0167238073058104,0.0900717078836053,0.0069343278363731,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-05,172.58,174.23,172.08,172.8,26933200,40.9648,0.69,134396360.0,0.0069343278363731,0.0069103959557435,0.0173965711804688,169.452,173.20850000000002,-0.2217075320397047,0.0124421296296294,0.0191222756695768,0.0174044711574957,0.1429255565096769,0.0102591792656585,0.0167335702087413,-0.1944512435216618,-0.006556204553582,0.0165318493951259,-0.0211388465695274,-0.0110490673636688,0.0168193686848635,0.0182270921202465,-0.0255787037037037,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-06,170.97,172.48,168.2,168.38,35005300,39.917,-2.56,136642600.0,-0.0255787037037037,-0.0259115264604373,0.0180482709765355,169.57200000000003,172.78050000000002,0.2997081668721133,0.0254186958071029,0.0069343278363731,0.0173965711804688,-0.2217075320397047,0.0191222756695768,0.0174044711574957,0.1429255565096769,0.0102591792656585,0.0167335702087413,-0.1944512435216618,0.0078087457952908,0.0166429457055125,-0.0784765470319306,0.0099180425228651,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-09,169.88,173.09,169.85,170.05,29017700,40.3129,0.99,136009100.0,0.0099180425228651,0.0098691815436866,0.0177084110795926,170.246,172.284,-0.1710483841018359,0.019053219641282,-0.0255787037037037,0.0180482709765355,0.2997081668721133,0.0069343278363731,0.0173965711804688,-0.2217075320397047,0.0191222756695768,0.0174044711574957,0.1429255565096769,-0.006556204553582,0.0165318493951259,-0.0211388465695274,0.0188179947074389,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-10,173.0,174.0,171.53,173.25,28408600,41.0715,1.88,135249400.0,0.0188179947074389,0.0186431266168081,0.0181518410302391,171.21800000000002,171.8605,-0.0209906367492943,0.0142568542568542,0.0099180425228651,0.0177084110795926,-0.1710483841018359,-0.0255787037037037,0.0180482709765355,0.2997081668721133,0.0069343278363731,0.0173965711804688,-0.2217075320397047,0.0102591792656585,0.0167335702087413,-0.1944512435216618,-0.0046753246753247,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-11,172.23,173.92,171.7,172.44,22431600,40.8795,-0.47,133397020.0,-0.0046753246753247,-0.0046862881910787,0.0180805103710499,171.384,171.48399999999998,-0.2103940356089353,0.0128740431454418,0.0188179947074389,0.0181518410302391,-0.0209906367492943,0.0099180425228651,0.0177084110795926,-0.1710483841018359,-0.0255787037037037,0.0180482709765355,0.2997081668721133,0.0191222756695768,0.0174044711574957,0.1429255565096769,0.0098585015077707,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-12,173.41,175.0,173.04,174.14,22889300,41.2825,0.99,132101200.0,0.0098585015077707,0.0098102235215356,0.0182037123901818,171.652,171.26899999999998,0.0204042511457052,0.0112553118180774,-0.0046753246753247,0.0180805103710499,-0.2103940356089353,0.0188179947074389,0.0181518410302391,-0.0209906367492943,0.0099180425228651,0.0177084110795926,-0.1710483841018359,0.0069343278363731,0.0173965711804688,-0.2217075320397047,0.0033880785574824,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-13,174.78,175.84,173.85,174.73,25124300,41.4223,0.34,132577300.0,0.0033880785574824,0.0033823519504774,0.0182256655386556,172.92199999999997,171.073,0.0976438772701655,0.0113890001716935,0.0098585015077707,0.0182037123901818,0.0204042511457052,-0.0046753246753247,0.0180805103710499,-0.2103940356089353,0.0188179947074389,0.0181518410302391,-0.0209906367492943,-0.0255787037037037,0.0180482709765355,0.2997081668721133,0.0062381960739426,1,,0.0,0.0,0.0,0.0,0.0,
2018-04-16,175.03,176.19,174.83,175.82,21578400,41.6807,0.62,129012040.0,0.0062381960739426,0.0062188190720854,0.0182877546192861,174.076,170.96300000000002,-0.1411342803580597,0.007735183710613,0.0033880785574824,0.0182256655386556,0.0976438772701655,0.0098585015077707,0.0182037123901818,0.0204042511457052,-0.0046753246753247,0.0180805103710499,-0.2103940356089353,0.0099180425228651,0.0177084110795926,-0.1710483841018359,0.0137640768968263,1,2018-04-16,0.7996045,0.0,1.0,1.0,799604.5,1.0
2018-04-17,176.49,178.94,176.41,178.24,26605400,42.2544,1.38,127643760.0,0.0137640768968263,0.0136702123158867,0.0182065651607535,175.074,171.11,0.2329644459274089,0.0141943447037702,0.0062381960739426,0.0182877546192861,-0.1411342803580597,0.0033880785574824,0.0182256655386556,0.0976438772701655,0.0098585015077707,0.0182037123901818,0.0204042511457052,0.0188179947074389,0.0181518410302391,-0.0209906367492943,-0.0022441651705565,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-18,177.81,178.82,176.88,177.84,20754500,42.1596,-0.22,127864780.0,-0.0022441651705565,-0.002246687082978,0.0182180040050196,176.154,171.24,-0.2199140024205612,0.0109086819613135,0.0137640768968263,0.0182065651607535,0.2329644459274089,0.0062381960739426,0.0182877546192861,-0.1411342803580597,0.0033880785574824,0.0182256655386556,0.0976438772701655,-0.0046753246753247,0.0180805103710499,-0.2103940356089353,-0.0283400809716598,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-19,173.76,175.39,172.66,172.8,34808800,40.9648,-2.83,127415560.0,-0.0283400809716598,-0.0287494132859858,0.018658045414672,175.886,171.3165,0.6771688067647981,0.015798611111111,-0.0022441651705565,0.0182180040050196,-0.2199140024205612,0.0137640768968263,0.0182065651607535,0.2329644459274089,0.0062381960739426,0.0182877546192861,-0.1411342803580597,0.0098585015077707,0.0182037123901818,0.0204042511457052,-0.0409722222222223,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-20,170.6,171.22,165.43,165.72,65491100,39.2864,-4.1,132215620.0,-0.0409722222222223,-0.0418352391607542,0.020709087466042,174.084,171.16,0.881452391349314,0.034938450398262,-0.0283400809716598,0.018658045414672,0.6771688067647981,-0.0022441651705565,0.0182180040050196,-0.2199140024205612,0.0137640768968263,0.0182065651607535,0.2329644459274089,0.0033880785574824,0.0182256655386556,0.0976438772701655,-0.002896451846488,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-23,166.83,166.92,164.09,165.24,36515500,39.1726,-0.29,131312960.0,-0.002896451846488,-0.0029006546806372,0.0200332577261212,171.96800000000002,171.175,-0.4424356897349411,0.0171266037279108,-0.0409722222222223,0.020709087466042,0.881452391349314,-0.0283400809716598,0.018658045414672,0.6771688067647981,-0.0022441651705565,0.0182180040050196,-0.2199140024205612,0.0062381960739426,0.0182877546192861,-0.1411342803580597,-0.013919147906076,0,,0.0,0.0,0.0,0.0,0.0,
2018-04-24,165.67,166.33,161.22,162.94,33692000,38.6274,-1.39,130543120.0,-0.013919147906076,-0.0140169276460681,0.0170128526555804,168.908,170.6835,-0.0773233284495624,0.0313612372652511,-0.002896451846488,0.0200332577261212,-0.4424356897349411,-0.0409722222222223,0.020709087466042,0.881452391349314,-0.0283400809716598,0.018658045414672,0.6771688067647981,0.0137640768968263,0.0182065651607535,0.2329644459274089,0.0043574321836259,1,,0.0,0.0,0.0,0.0,0.0,
